url,name,region,sector,system,grid_coordinates,suns,moons,rotation_period,orbital_period,diameter,atmosphere,climate,terrain,population,primary_languages
https://starwars.fandom.com/wiki/Kamino,Kamino,Extragalactic,Abrion sector,Kamino system,,,3,27,463,19270,Breathable,,Oceans,1000000000,"Galactic Basic Standard, Kaminoan"
https://starwars.fandom.com/wiki/Geonosis,Geonosis,"Outer Rim Territories, The Slice",Arkanis sector,Geonosis system,,1,15,30,256,11370,Type I,Hot and arid,"Deserts, Mesas, Mountains",1E+11,Geonosian hive-mind
https://starwars.fandom.com/wiki/Utapau,Utapau,"Outer Rim Territories, Western Reaches",Tarabba sector,Utapau system,N-19,1,9,17,351,12900,"Type I (breathable; oxygen, hydrogen, nitrogen mix)",Temperate,"Desert, Plains, Large sinkholes, Rocky",95000000,"Amani, Galactic Basic Standard, Utapese, Utai"
https://starwars.fandom.com/wiki/Mustafar,Mustafar,"Outer Rim Territories, Western Reaches",Atravis sector,Mustafar system,L-19,1,1,36,412,4200,Type II (breath mask suggested),"Hot, ash-laden, and stormy","Caves, Forests, Glens, Lava seas, rivers, and pits, (35% of surface), Molten rock plains, Obsidian mountain ranges, and shores, Volcanoes",20000,Mustafarian
https://starwars.fandom.com/wiki/Polis_Massa,Polis Massa,Outer Rim Territories,Subterrel sector,Polis Massa system,K-20,,,,,,Type IV,"Formerly arid, now none",Asteroids,,
https://starwars.fandom.com/wiki/Mygeeto,Mygeeto,"Outer Rim Territories, New Territories",Albarrio sector,Mygeeto system,K-5,1,2,,,10088,Breathable,Frigid,Crystalline,,
https://starwars.fandom.com/wiki/Felucia,Felucia,"Outer Rim Territories, Foundry of the Confederacy, The Slice",Thanium sector,Felucia system,R-6,1,8,34,231,9100,Type I,Hot and humid,Jungles,425000000,
https://starwars.fandom.com/wiki/Cato_Neimoidia,Cato Neimoidia,"Colonies, The Slice",Quellor sector,Cato Neimoidia system,N-11,1,2,25,278,,Breathable,,"Acidic oceans, Canyons, Cliffs, Grasslands, Forests, Rock arches",,Pak-Pak
https://starwars.fandom.com/wiki/Saleucami,Saleucami,"Outer Rim Territories, Foundry of the Confederacy, The Slice",Suolriep sector,Saleucami system,S-8,1,3,,,14920,,"Arid, Temperate","Caves, Deserts, Mountains, Swamps, Volcanoes",1400000000,"Galactic Basic Standard, Wroonian"
https://starwars.fandom.com/wiki/Eriadu,Eriadu,"Outer Rim Territories, Greater Seswenna",Seswenna sector,Eriadu system,M-18,1,1,,,,Breathable,Temperate,"Jungles, Mountains",,Galactic Basic Standard
https://starwars.fandom.com/wiki/Rodia,Rodia,"Outer Rim Territories, The Slice",Savareen sector,Tyrius system,R-16,1,4,29,305,7548,Breathable,"Hot, humid","Jungles, Swamps, Oceans",1300000000,"Galactic Basic Standard, Huttese, Rodian"
https://starwars.fandom.com/wiki/Nal_Hutta,Nal Hutta,"Hutt Space, Outer Rim Territories, The Slice",,,S-12,,1,,,,Breathable,"Hot, humid",Swamps,,Huttese
https://starwars.fandom.com/wiki/Serenno,Serenno,"Outer Rim Territories, Northern Dependencies",D'Astan sector,Serenno system,P-5,1,2,,,,Breathable,,"Forests, Mountains, Plains, Savannah",,Galactic Basic Standard
https://starwars.fandom.com/wiki/Kalee,Kalee,Wild Space,,,J-4,,,,,,,,,,
